	GP_64KB	DR_64KB	PST_64KB	Q_MAX_64KB
2	1959.96	0	96	11672	
4	3666.35	0	192	34500	
8	2989.53	0.126016	492	58336	
16	4744.69	0.100967	931	58500	
32	7361.66	0.0868347	1785	58540	
64	7722.54	0.103314	3591	59836	
96	6236.88	0.12852	5540	59836	
128	7749.29	0.137987	7392	59916	
160	7129.53	0.167559	9710	59956	
192	7159.04	0.160466	11504	59996	
224	8188.57	0.142059	13072	59996	
256	7417.8	0.126862	14638	59996	
320	6449.8	0.104332	17799	59996	
384	6084.58	0.0885635	20968	59996	
512	5583.45	0.0679946	27311	59996	
640	5319.68	0.0551415	33677	59996	
768	5140.28	0.0463867	40033	59996	
896	5050.5	0.0400569	46359	59996	
1024	4977.29	0.0352379	52699	59996	
