	GP_512KB	RTX_512KB	Q_512KB	Q_MAX_512KB
8	7061.34	0.10	4204800.00	3
16	8361.64	0.05	8409600.00	3
32	5591.78	0.40	16819200.00	6
48	2952.89	0.70	25228800.00	18
64	1434.72	0.90	33585840.00	18
80	1014.21	0.95	39682873.00	18
96	1451.37	0.90	47277720.00	18
112	523.16	1.00	51219720.00	18
128	805.88	1.00	57684600.00	18
144	1059.90	1.00	63702720.00	18
160	941.16	1.00	66146760.00	18
176	328.42	1.00	59787000.00	18
192	637.02	1.00	65936520.00	19
208	838.37	1.00	77709960.00	18
224	581.80	1.00	64333440.00	18
240	937.48	1.00	75344760.00	18
256	748.84	1.00	75213360.00	18
