	GP_512KB	RTX_512KB	Q_512KB	Q_MAX_512KB
8	6674.82	0.00	4204800.00	0
16	7051.85	0.00	8409600.00	0
32	7257.38	0.00	16819200.00	0
48	7328.57	0.00	25228800.00	0
64	7364.70	0.00	33638400.00	0
80	7386.72	0.00	42048000.00	0
96	7401.32	0.00	50457600.00	0
112	7411.79	0.00	58867200.00	0
128	7419.66	0.00	67276800.00	0
144	7425.79	0.00	75686400.00	0
160	7430.70	0.00	84096000.00	0
176	7434.72	0.00	92505600.00	0
192	7438.08	0.00	100915200.00	0
208	7440.92	0.00	109324800.00	0
224	7443.36	0.00	117734400.00	0
240	7445.47	0.00	126144000.00	0
256	7447.32	0.00	134553600.00	0
